PLAY #,EVENT,SCORE,CLOCK,QTR,HASH,YARD LN,FIELD ZONE,DN,DIST,SITUATION (O),SITUATION (AFTER),PLAY TYPE,RESULT,GN/LS,REDMEN OFF PLAY,OFF PLAY,OPRS,BACKFIELD,REC ALIGNMENT,MOTION,ARRIVE AT MESH,CONCEPT,PLAY FAMILY,PROTECTION,DPRS,DEF FRONT,FRONT TYPE,SHOW,STUNT,DOG,BLITZ,NBR,PRESSURE PATTERN,PSL - MOF,COVERAGE,COVERAGE ADJUST,QUICK,NED,NOSE,TEX,RUSH,END,WILL,OSCAR,MIKE,STAR,ODK
38,MTL-DEF -- MCG-OFF,MTL-29 VS MCG-06,02:18,3,R,-53,OF,1,10,C+10,AFTER COMPLETE PASS,Pass,Penalty,-10,Cash L Samurai Z Knife,CHEROKEE,REB,GW,32,,,DROPBACK,,60/61,30 BASE,34,ODD,,,,QB SPY,3,3 DOWN -- 3R,,2 MAN,,MTL-97,,MTL-89,,,MTL-99,MTL-19,MTL-02,MTL-05,MTL-21,D
39,MTL-DEF -- MCG-OFF,MTL-29 VS MCG-06,02:00,3,R,-43,OF,1,20,1+VERY LONG,AFTER PENALTY,Pass,Penalty,22,TW To Cash L Warrior W Branch,TRIPLEX,REB,GW,32,FLY,,DROPBACK,,60/61,30 BASE,34,ODD,STING,BULLY,SCMAO1W3,,7,3 DOWN -- 7MO,,0,,MTL-97,,MTL-89,,,MTL-99,MTL-19,MTL-02,MTL-05,MTL-21,D
40,MTL-DEF -- MCG-OFF,MTL-29 VS MCG-06,01:40,3,R,45,OF,1,10,C+10,AFTER PENALTY,Pass,Complete,6,Echo L Storm X Level W Pivot,DUPLEX,REB,,42,,,DROPBACK,,50/51,30 BASE,33 DBL FLEX,ODD,,ME,SCMB,,5,3 DOWN -- 5MF,,3,,MTL-94,,MTL-95,,,MTL-49,MTL-02,MTL-19,MTL-05,MTL-21,D
41,MTL-DEF -- MCG-OFF,MTL-29 VS MCG-06,01:17,3,R,39,OF,2,4,2+MEDIUM,AFTER COMPLETE PASS,Run,Rush,0,King L Wave H Stick Alt Good Drip,,REB,,33,,,UTILITY,0/1 REDBIRD,,30 BASE,33 DBL FLEX,ODD,O-MUG M-FLEX,,MBOA,,5,3 DOWN -- 5M,,10,,MTL-94,,MTL-95,,,MTL-49,MTL-02,MTL-19,MTL-05,MTL-21,D
42,MTL-DEF -- MCG-OFF,MTL-29 VS MCG-06,00:45,3,R,38,OF,3,4,3+MEDIUM,AFTER RUN,Pass,Incomplete,0,Thetford L Good Blast Alt X Drift,,REB,GW,31,,,IZ,,POP 2/3 WHAM,30 BASE,33 DBL FLEX,ODD,O-MUG W-FLEX,,O1W2,,5,3 DOWN -- 5M,,11,,MTL-94,,MTL-95,,,MTL-49,MTL-02,MTL-19,MTL-05,MTL-21,D
43,MTL-DEF -- MCG-OFF,MTL-29 VS MCG-06,12:19,4,L,-27,OF,1,10,P+10,AFTER TURNOVER,Pass,Scramble,7,(Opp) TH To Thetford L Good Zone H Keep,,REB,GS,13,,,IZ,2/3 ZAP,,30 BASE,34,ODD,O-MUG,DBL BNG,SCW3,,5,3 DOWN -- 5O,,3,,MTL-49,,MTL-98,,,MTL-99,MTL-19,MTL-02,MTL-05,MTL-21,D
44,MTL-DEF -- MCG-OFF,MTL-29 VS MCG-06,11:55,4,R,-34,OF,2,3,2+MEDIUM,AFTER QB SCRAMBLE,,Penalty,-5,,,,,,,,,,,,,,,,,,,,,,HBR,,,,,,,,,,,D
45,MTL-DEF -- MCG-OFF,MTL-29 VS MCG-06,11:46,4,R,-29,OF,2,8,2+LONG,AFTER PENALTY,Pass,Incomplete,0,TW To Four L Helix Samurai Indi,APACHE,REB,GW,41,FLY,,DROPBACK,,60/61,30 BASE,34,ODD,STING,BULLY,SCMAO1W3,,7,3 DOWN -- 7MO,,0,HBR,MTL-49,,MTL-98,,,MTL-99,MTL-19,MTL-02,MTL-05,MTL-21,D
46,MTL-DEF -- MCG-OFF,MTL-29 VS MCG-06,09:50,4,L,-30,OF,1,10,P+10,AFTER PUNT,Run,Rush,3,Cash L Good Counter,,REB,GW,32,,,GAP,4/5 TRAIN,,30 BASE,33 DBL FLEX,ODD,,ST BNG,SCMA,,5,3 DOWN -- 5MF,,3,,MTL-97,,MTL-89,,,MTL-94,MTL-02,MTL-19,MTL-05,MTL-21,D
47,MTL-DEF -- MCG-OFF,MTL-29 VS MCG-06,09:20,4,L,-33,OF,2,7,2+LONG,AFTER RUN,Pass,Complete,11,TW To Four L Helix Samurai Indi,X-COMEBACK,REB,GW,41,,,DROPBACK,,60/61,30 BASE,34,ODD,W-JET,BULLY,MAO1W3,,6,3 DOWN -- 6MB,,1,HBR,MTL-97,,MTL-89,,,MTL-94,MTL-19,MTL-02,MTL-05,MTL-21,D
48,MTL-DEF -- MCG-OFF,MTL-29 VS MCG-06,08:53,4,L,-44,OF,1,10,C+10,AFTER COMPLETE PASS,Run,Rush,13,TH To Cessna L Bad Blast,,REB,GW,31,FLOAT,,IZ,2/3 WHAM,,30 BASE,34,ODD,,,,,3,3 DOWN -- 3R,,2 MAN,,MTL-97,,MTL-89,,,MTL-94,MTL-19,MTL-02,MTL-05,MTL-21,D
49,MTL-DEF -- MCG-OFF,MTL-29 VS MCG-06,08:20,4,L,53,OF,1,10,C+10,AFTER EXPL. RUN,Pass,Scramble,5,TH To Dehli L Trade Samurai Smash,CORNER,REB,GS,22,,,DROPBACK,,74/75,30 BASE,34,ODD,O-MUG,DBL BNG,SCMA,,5,3 DOWN -- 5O,,3,,MTL-97,,MTL-89,,,MTL-94,MTL-19,MTL-02,MTL-05,MTL-21,D
50,MTL-DEF -- MCG-OFF,MTL-29 VS MCG-06,07:50,4,L,48,OF,2,5,2+MEDIUM,AFTER QB SCRAMBLE,Pass,Complete,6,King L Wave H Stick Alt Good Drip,STICK,REB,GW,32,,,DROPBACK,,60/61,30 BASE,34,ODD,,,,,3,3 DOWN -- 3R,,3CW,,MTL-98,,MTL-95,,,MTL-49,MTL-19,MTL-02,MTL-05,MTL-21,D
51,MTL-DEF -- MCG-OFF,MTL-29 VS MCG-06,07:00,4,R,42,OF,1,10,C+10,AFTER COMPLETE PASS,Run,Penalty,6,Future L Samurai Indi Alt Good Counter,,REB,GW,31,,,GAP,4/5 TRAIN,,30 BASE,33 DBL FLEX,ODD,,ST BNG,SCMA,,5,3 DOWN -- 5MF,,3X,,MTL-98,,MTL-95,,,MTL-49,MTL-02,MTL-19,MTL-05,MTL-21,D
52,MTL-DEF -- MCG-OFF,MTL-29 VS MCG-06,06:30,4,R,36,OF,1,5,1+MEDIUM,AFTER PENALTY,,Penalty,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D
53,MTL-DEF -- MCG-OFF,MTL-29 VS MCG-06,06:24,4,R,42,OF,1,10,C+10,AFTER PENALTY,Run,Rush,14,T To Four L Good Blast,,REB,GW,41,,,IZ,2/3 WHAM,,30 BASE,33 DBL FLEX,ODD,,WHIP,W1M2,,5,3 DOWN -- 5M,,3X,HBR,MTL-98,,MTL-95,,,MTL-49,MTL-02,MTL-19,MTL-05,MTL-21,D
54,MTL-DEF -- MCG-OFF,MTL-29 VS MCG-06,05:50,4,L,28,FZ,1,10,C+10,AFTER EXPL. RUN,Pass,Sack,-8,Cash L Scan Race,VERTICALS,REB,GW,22,,,DROPBACK,,74/75,30 BASE,33 DBL FLEX,ODD,O-MUG W-FLEX,,O1W2,,5,3 DOWN -- 5M,,11,,MTL-98,,MTL-95,,,MTL-49,MTL-02,MTL-19,MTL-05,MTL-21,D
55,MTL-DEF -- MCG-OFF,MTL-29 VS MCG-06,05:15,4,L,36,OF,2,18,2+VERY LONG,AFTER SACK,Pass,Sack,-9,Tango To Four L Summer Marlins,TRIPLEX,REB,GS,32,TANGO,,DROPBACK,,60/61,30 BASE,34,ODD,STING,BULLY,SCMAO1W3,,7,3 DOWN -- 7MO,,0,,MTL-98,,MTL-95,,,MTL-49,MTL-19,MTL-02,MTL-05,MTL-21,D
56,MTL-DEF -- MCG-OFF,MTL-29 VS MCG-06,02:35,4,L,27,FZ,1,10,P+10,AFTER PUNT,Pass,Complete,13,Cessna L Sarah W Nod,DOUBLE MOVE,REB,GW,31,,,DROPBACK,,76/77,40 BASE,41 EVEN,EVEN,,NQT,,,4,4 DOWN -- 4R,,3X,,MTL-98,MTL-89,,MTL-97,MTL-94,,MTL-19,,MTL-02,MTL-05,D
57,MTL-DEF -- MCG-OFF,MTL-29 VS MCG-06,02:20,4,L,14,GZ,1,10,C+10,AFTER COMPLETE PASS,,Penalty,-5,Flames L Samurai Indi Alt Good Blast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D
58,MTL-DEF -- MCG-OFF,MTL-29 VS MCG-06,02:05,4,L,19,GZ,1,15,1+VERY LONG,AFTER PENALTY,Pass,Complete,5,Tango To Four L STORM T OMEN,CORNER,REB,GW,41,TANGO,,DROPBACK,,SCAT 50/51,40 BASE,41 EVEN,EVEN,,,,,4,4 DOWN -- 4R,,2 MAN,,MTL-98,MTL-89,,MTL-97,MTL-94,,MTL-19,,MTL-02,MTL-05,D
59,MTL-DEF -- MCG-OFF,MTL-29 VS MCG-06,01:54,4,L,14,GZ,2,10,2+LONG,AFTER COMPLETE PASS,Pass,Sack,-5,WILLY T BRANCH,,REB,GW,31,,,DROPBACK,,SCAT 64/65,40 BASE,41 EVEN,EVEN,STING,BULLY,SCMAW3,,7,4 DOWN -- 7MO,,0,,MTL-98,MTL-89,,MTL-97,MTL-94,,MTL-19,,MTL-02,MTL-05,D
60,MTL-DEF -- MCG-OFF,MTL-29 VS MCG-09,00:33,4,L,53,OF,1,10,P+10,AFTER PUNT,Pass,Complete,16,Cessna L Squeeze SARAH Y KNIFE,BOB,REB,GW,31,,,DROPBACK,,76/77,40 BASE,42 EVEN,EVEN,,,,,4,4 DOWN -- 4R,,4,,MTL-49,MTL-95,,MTL-89,MTL-99,,MTL-52,,MTL-07,MTL-04,D
61,MTL-DEF -- MCG-OFF,MTL-29 VS MCG-09,,4,R,37,OF,1,10,C+10,AFTER COMPLETE PASS,Pass,Incomplete,0,RACE,VERTICALS,REB,GW,32,,,DROPBACK,,60/61,40 BASE,42 UNDER G,EVEN,,,,,4,4 DOWN -- 4R,,4,,MTL-49,MTL-89,,MTL-95,MTL-99,,MTL-52,,MTL-07,MTL-04,D
62,MTL-DEF -- MCG-OFF,MTL-29 VS MCG-09,,4,R,37,OF,2,10,2+LONG,AFTER INCOMPLETE PASS,Pass,Incomplete,0,Cessna L Squeeze Sarah X Jerk,CORNER,REB,GW,31,,,DROPBACK,,76/77,40 BASE,42 EVEN,EVEN,,NT,,,4,4 DOWN -- 4R,,4,,MTL-49,MTL-89,,MTL-95,MTL-99,,MTL-52,,MTL-07,MTL-04,D
1,CON-OFF -- MTL-DEF,CON-00 VS MTL-00,14:54,1,R,-20,OF,1,10,P+10,AFTER KO - GAME,Run,Rush,1,,ZIMBA,RAN,P,13,,,IZ,2/3 BOSS,,30 BASE,31 OKIE STACK,ODD,,,,,3,3 DOWN -- 3R,,3CW,,MTL-98,,MTL-97,,,MTL-94,MTL-19,MTL-02,MTL-52,MTL-05,D
2,CON-OFF -- MTL-DEF,CON-00 VS MTL-00,14:15,1,R,-21,OF,2,9,2+LONG,AFTER RUN,Pass,Complete,11,,"HANG, OUTLAW",REB,P,32,AXE,,DROPBACK,,SCAT 50/51,30 BASE,34,ODD,,,,,3,3 DOWN -- 3R,,4 POACH,,MTL-98,,MTL-97,,,MTL-94,MTL-19,MTL-02,MTL-52,MTL-05,D
3,CON-OFF -- MTL-DEF,CON-00 VS MTL-00,13:55,1,L,-32,OF,1,10,C+10,AFTER COMPLETE PASS,Pass,Incomplete,0,,BUBBLE PASS,REB,P,41,,,DROPBACK,,SCAT 50/51,30 BASE,31 OKIE STACK,ODD,,,,,3,3 DOWN -- 3R,,3X,HBR,MTL-98,,MTL-97,,,MTL-94,MTL-19,MTL-02,MTL-52,MTL-05,D
4,CON-OFF -- MTL-DEF,CON-00 VS MTL-00,13:31,1,L,-32,OF,2,10,2+LONG,AFTER INCOMPLETE PASS,Pass,Sack,-2,,CHEROKEE,REB,P,32,,,DROPBACK,,SCAT 50/51,30 BASE,34,ODD,,,,,3,3 DOWN -- 3R,,2 MAN,,MTL-98,,MTL-97,,,MTL-94,MTL-19,MTL-02,MTL-52,MTL-05,D
5,CON-OFF -- MTL-DEF,CON-00 VS MTL-00,10:00,1,L,-24,OF,1,10,P+10,AFTER PUNT,Pass,Complete,9,,QUICK,REB,P,41,,,DROPBACK,,60/61,30 BASE,34 OKIE,ODD,,,SCW3,,5,3 DOWN -- 5O,,3,,MTL-98,,MTL-97,,,MTL-94,MTL-19,MTL-02,MTL-52,MTL-05,D
6,CON-OFF -- MTL-DEF,CON-00 VS MTL-00,09:22,1,L,-33,OF,2,1,2+SHORT,AFTER COMPLETE PASS,Run,Rush,-3,,COUNTER WK OPT SPOT,REB,P,23,,,GAP,4/5 TRAIN,,30 BASE,34 OKIE,ODD,W-JET,,,,3,3 DOWN -- 3R,,4WK X,,MTL-98,,MTL-97,,,MTL-94,MTL-19,MTL-02,MTL-52,MTL-05,D
7,CON-OFF -- MTL-DEF,CON-00 VS MTL-07,01:17,1,R,-27,OF,1,10,P+10,AFTER KO - TD,Run,Rush,-4,,T POWER WK OPT Z DO,REB,P,2T3,,,GAP,4/5 TRUCK,,30 BASE,31 OKIE STACK,ODD,,,SCW3,,5,3 DOWN -- 5O,,3,,MTL-97,,MTL-98,,,MTL-94,MTL-19,MTL-02,MTL-52,MTL-05,D
8,CON-OFF -- MTL-DEF,CON-00 VS MTL-07,00:38,1,R,-23,OF,2,14,2+VERY LONG,AFTER RUN,Pass,Incomplete,0,,CORNER,REB,P,32,,,DROPBACK,,66/67,40 BASE,42 EVEN,EVEN,SHIFT,TR+NQ,MC,,5,4 DOWN -- 5F,,3X,,MTL-97,MTL-98,,MTL-02,MTL-94,,MTL-19,,MTL-52,MTL-05,D
9,CON-OFF -- MTL-DEF,CON-00 VS MTL-15,09:50,2,L,-35,OF,1,10,P+10,AFTER KO - TD,Run,Rush,0,,IZ LOCK WK OPT MILLS,REB,P,32,,,IZ,2/3 ZIMBA,,40 BASE,41 EVEN,EVEN,,,,,4,4 DOWN -- 4R,,4,,MTL-54,MTL-89,,MTL-98,MTL-44,,MTL-19,,MTL-02,MTL-05,D
10,CON-OFF -- MTL-DEF,CON-00 VS MTL-15,09:18,2,L,-35,OF,2,10,2+LONG,AFTER RUN,Pass,Penalty,-10,,CORNER,REB,P,32,,,DROPBACK,,60/61,40 BASE,41 EVEN,EVEN,,TR+NQ,,,4,4 DOWN -- 4R,,2 MAN,,MTL-54,MTL-89,,MTL-98,MTL-44,,MTL-19,,MTL-02,MTL-05,D
11,CON-OFF -- MTL-DEF,CON-00 VS MTL-15,08:59,2,L,-25,OF,2,20,2+VERY LONG,AFTER PENALTY,Pass,Complete,29,,CORNER,REB,,42,,,DROPBACK,,50/51,40 BASE,41 EVEN,EVEN,STING,BULLY,MAW3,,6,4 DOWN -- 6MB,,0,,MTL-54,MTL-89,,MTL-98,MTL-44,,MTL-19,,MTL-02,MTL-05,D
12,CON-OFF -- MTL-DEF,CON-00 VS MTL-15,08:16,2,R,-54,OF,1,10,C+10,AFTER EXPL. PASS,Run,Rush,1,,IZ READ WK OPT Z DO,REB,P,2T3,,,IZ,2/3 BOSS,,40 BASE,41 EVEN,EVEN,,,,,4,4 DOWN -- 4R,,3X,,MTL-54,MTL-89,,MTL-98,MTL-44,,MTL-19,,MTL-02,MTL-05,D
13,CON-OFF -- MTL-DEF,CON-00 VS MTL-15,07:38,2,R,55,OF,2,9,2+LONG,AFTER RUN,Pass,Scramble,1,,VERTICALS,REB,,23,,,DROPBACK,,50/51,40 BASE,41 EVEN,EVEN,,,,,4,4 DOWN -- 4R,,2 MAN,,MTL-54,MTL-89,,MTL-98,MTL-44,,MTL-19,,MTL-02,MTL-05,D
14,CON-OFF -- MTL-DEF,CON-00 VS MTL-15,05:09,2,L,37,OF,1,10,,,,Timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D
15,CON-OFF -- MTL-DEF,CON-00 VS MTL-15,04:59,2,L,-37,OF,1,10,P+10,AFTER PUNT,Pass,Complete,15,,"IZ LOCK WK OPT MILLS, STICK",REB,P,32,ZIP,,IZ,2/3 ZAP,,30 BASE,31 OKIE STACK,ODD,,,,,3,3 DOWN -- 3R,,4,,MTL-54,,MTL-89,,,MTL-44,MTL-19,MTL-02,MTL-50,MTL-05,D
16,CON-OFF -- MTL-DEF,CON-00 VS MTL-15,04:33,2,R,-52,OF,1,10,C+10,AFTER COMPLETE PASS,Pass,Complete,-3,,RAM,REB,P,2T3,,,GAP,,POP 4/5 TRUCK,30 BASE,34 OKIE,ODD,,,SCW3,,5,3 DOWN -- 5O,,3,,MTL-54,,MTL-89,,,MTL-44,MTL-19,MTL-02,MTL-50,MTL-05,D
17,CON-OFF -- MTL-DEF,CON-00 VS MTL-15,03:53,2,R,-49,OF,2,13,2+VERY LONG,AFTER COMPLETE PASS,,Penalty,-5,,,,,,,,,,,30 BASE,32,ODD,,,,,3,3 DOWN -- 3R,,,,MTL-54,,MTL-89,,,MTL-44,MTL-19,MTL-02,MTL-50,MTL-05,D
18,CON-OFF -- MTL-DEF,CON-00 VS MTL-15,03:39,2,R,-44,OF,2,18,2+VERY LONG,AFTER PENALTY,Pass,Incomplete,0,,CORNER,,,,,,DROPBACK,,SCAT 50/51,30 BASE,32,ODD,,,,,3,3 DOWN -- 3R,,2 MAN,,MTL-54,,MTL-89,,,MTL-44,MTL-19,MTL-02,MTL-50,MTL-05,D
19,CON-OFF -- MTL-DEF,CON-00 VS MTL-15,01:46,2,L,-9,BU,1,10,P+10,AFTER PUNT,Pass,Complete,24,,QUICK,REB,P,32T,,,DROPBACK,,POP 4/5 TRUCK,30 BASE,34 OKIE,ODD,,,SCW3,,5,3 DOWN -- 5O,,4,,MTL-51,,MTL-89,,,MTL-44,MTL-19,MTL-02,MTL-50,MTL-05,D
20,CON-OFF -- MTL-DEF,CON-00 VS MTL-15,01:39,2,R,-33,OF,1,10,C+10,AFTER EXPL. PASS,Pass,Complete,12,,"IZ LOCK WK OPT PETER, SMASH",REB,P,32,,,IZ,2/3 ZIMBA,,30 BASE,34 OKIE,ODD,,,,,3,3 DOWN -- 3R,,3DC,,MTL-51,,MTL-89,,,MTL-44,MTL-19,MTL-02,MTL-50,MTL-05,D
21,CON-OFF -- MTL-DEF,CON-00 VS MTL-15,01:21,2,L,-45,OF,1,10,C+10,AFTER COMPLETE PASS,Run,Rush,5,,IZ READ ST OPT W POST,REB,P,32T,,,IZ,2/3 BOSS,,30 BASE,34,ODD,,STRIP,MAOB,,5,3 DOWN -- 5M,,3,,MTL-51,,MTL-89,,,MTL-44,MTL-19,MTL-02,MTL-50,MTL-05,D
22,CON-OFF -- MTL-DEF,CON-00 VS MTL-15,00:45,2,R,-50,OF,2,5,2+MEDIUM,AFTER RUN,Pass,Complete,7,,"IZ LOCK WK OPT MILLS, DUSS",REB,P,32,ZIP,,IZ,2/3 ZIMBA,,30 BASE,34,ODD,,,,,3,3 DOWN -- 3R,,3DC,,MTL-51,,MTL-89,,,MTL-44,MTL-19,MTL-02,MTL-50,MTL-05,D
23,CON-OFF -- MTL-DEF,CON-00 VS MTL-15,00:32,2,L,53,OF,1,10,C+10,AFTER COMPLETE PASS,Pass,Sack,-2,,CORNER,REB,P,32,,,DROPBACK,,60/61,40 BASE,41 OVER G,EVEN,,,,,4,4 DOWN -- 4R,,2 MAN,,MTL-98,MTL-97,,MTL-54,MTL-51,,MTL-19,,MTL-02,MTL-05,D
24,CON-OFF -- MTL-DEF,CON-00 VS MTL-15,00:26,2,L,55,OF,2,12,2+VERY LONG,AFTER SACK,Pass,Complete,14,,"HANG, OUTLAW",REB,P,32,AXE,,DROPBACK,,60/61,40 BASE,41 EVEN,EVEN,,TRN,,,4,4 DOWN -- 4R,,MATCH,,MTL-98,MTL-97,,MTL-54,MTL-51,,MTL-19,,MTL-02,MTL-05,D
25,CON-OFF -- MTL-DEF,CON-00 VS MTL-15,00:05,2,R,41,OF,1,10,C+10,AFTER COMPLETE PASS,Pass,Complete,11,,QUICK,REB,P,41,,,DROPBACK,,60/61,40 BASE,41 OUT,EVEN,,,,,4,4 DOWN -- 4R,,4,,MTL-98,MTL-54,,MTL-97,MTL-51,,MTL-19,,MTL-02,MTL-05,D
26,CON-OFF -- MTL-DEF,CON-00 VS MTL-15,00:01,2,R,30,FZ,1,10,C+10,AFTER COMPLETE PASS,Pass,Incomplete,0,,HAIL MARY,REB,P,14,AXE,,DROPBACK,,60/61,40 BASE,41 OUT,EVEN,,NT,,,4,4 DOWN -- 4R,,4,,MTL-98,MTL-97,,MTL-54,MTL-51,,MTL-19,,MTL-02,MTL-05,D
27,CON-OFF -- MTL-DEF,CON-00 VS MTL-15,13:30,3,R,-28,OF,1,10,P+10,AFTER PUNT,Run,Rush,3,,IZ LOCK WK OPT HITCH SCREEN,REB,P,41,,,IZ,2/3 ZAP,,30 BASE,31 OKIE STACK,ODD,,,,,3,3 DOWN -- 3R,,,HBR,MTL-97,,MTL-94,,,MTL-98,MTL-19,MTL-02,MTL-50,MTL-05,D
28,CON-OFF -- MTL-DEF,CON-00 VS MTL-15,12:57,3,R,-31,OF,2,7,2+LONG,AFTER RUN,Pass,Incomplete,0,,"HANG, OUTLAW",REB,P,32,AXE,,DROPBACK,,60/61,30 BASE,34,ODD,,,,,3,3 DOWN -- 3R,,4,,MTL-97,,MTL-94,,,MTL-98,MTL-19,MTL-02,MTL-50,MTL-05,D
29,CON-OFF -- MTL-DEF,CON-00 VS MTL-22,09:58,3,R,-28,OF,1,10,P+10,AFTER KO - TD,Pass,Sack,-9,,CORNER,REB,P,32,,,GAP,,POP 4/5 TRUCK,30 BASE,34 OKIE,ODD,,,SCW3,,5,3 DOWN -- 5O,,4,,MTL-97,,MTL-98,,,MTL-94,MTL-19,MTL-02,MTL-50,MTL-05,D
30,CON-OFF -- MTL-DEF,CON-00 VS MTL-22,09:20,3,R,-19,BU,2,19,2+VERY LONG,AFTER SACK,Pass,Sack,-9,,STICK,REB,P,32,,,DROPBACK,,60/61,30 BASE,34,ODD,STING,BULLY,SCMAO1W3,,7,3 DOWN -- 7MO,,0,,MTL-97,,MTL-98,,,MTL-94,MTL-19,MTL-02,MTL-50,MTL-05,D
31,CON-OFF -- MTL-DEF,CON-00 VS MTL-31,06:36,3,L,-42,OF,1,10,P+10,AFTER KO - TD,Run,Rush,0,,IZ READ ST OPT W POST,REB,P,32,,,IZ,2/3 BOSS,,30 BASE,31 OKIE STACK,ODD,,,,,3,3 DOWN -- 3R,,4,,MTL-54,,MTL-89,,,MTL-44,MTL-19,MTL-02,MTL-50,MTL-05,D
32,CON-OFF -- MTL-DEF,CON-00 VS MTL-31,06:05,3,L,-42,OF,2,10,2+LONG,AFTER RUN,Pass,Penalty,-10,,VERTICALS,REB,P,32,SAIL,,DROPBACK,,SCAT 50/51,30 BASE,34,ODD,,,,,3,3 DOWN -- 3R,,4,,MTL-54,,MTL-89,,,MTL-44,MTL-19,MTL-02,MTL-50,MTL-05,D
33,CON-OFF -- MTL-DEF,CON-00 VS MTL-31,05:38,3,L,-32,OF,2,20,2+VERY LONG,AFTER PENALTY,Pass,Complete,19,,BOB,REB,P,41,BOMBER,,DROPBACK,,SCAT 64/65,30 BASE,34,ODD,STING,BULLY,SCMAO1W3,,7,3 DOWN -- 7MO,,0,HBR,MTL-54,,MTL-89,,,MTL-44,MTL-19,MTL-02,MTL-50,MTL-05,D
34,CON-OFF -- MTL-DEF,CON-00 VS MTL-31,05:10,3,L,-51,OF,3,1,3+SHORT,AFTER COMPLETE PASS,Run,Rush,2,,QB SNEAK,BIG,,,,,SNEAK,QB SNEAK,,40 BASE,GAPS,EVEN,S-JET W-JET,,SCW3,,6,4 DOWN -- 6O,,0,,MTL-98,MTL-89,,MTL-97,MTL-94,,MTL-19,,MTL-02,MTL-05,D
35,CON-OFF -- MTL-DEF,CON-00 VS MTL-31,04:38,3,L,-53,OF,1,10,C+10,AFTER QB SNEAK,Pass,Complete,12,,"IZ LOCK WK OPT MILLS, HOTEL",REB,P,32,ZIP,,IZ,2/3 ZIMBA,,30 BASE,31 OKIE STACK,ODD,,,,,3,3 DOWN -- 3R,,4,,MTL-97,,MTL-89,,,MTL-94,MTL-19,MTL-02,MTL-50,MTL-05,D
36,CON-OFF -- MTL-DEF,CON-00 VS MTL-31,04:00,3,L,45,OF,1,10,C+10,AFTER COMPLETE PASS,Run,Rush,9,,COUNTER TREY WK,RAN,P,2T3,,,GAP,4/5 TRACTOR,,30 BASE,34 OKIE,ODD,,,SCW3,,5,3 DOWN -- 5O,,4,,MTL-97,,MTL-89,,,MTL-94,MTL-19,MTL-02,MTL-50,MTL-05,D
37,CON-OFF -- MTL-DEF,CON-00 VS MTL-31,03:20,3,L,36,OF,2,1,,,,Timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D
38,CON-OFF -- MTL-DEF,CON-00 VS MTL-31,03:01,3,L,36,OF,2,1,2+SHORT,AFTER RUN,Pass,Complete,11,,"IZ LOCK ST OPT FLORIDA, MILLS",REB,P,32,AXE,,IZ,2/3 ZIMBA,,40 BASE,41 EVEN,EVEN,,NT,,,4,4 DOWN -- 4R,,4,,MTL-97,MTL-98,,MTL-89,MTL-94,,MTL-19,,MTL-02,MTL-05,D
39,CON-OFF -- MTL-DEF,CON-00 VS MTL-31,02:42,3,L,25,FZ,1,10,C+10,AFTER COMPLETE PASS,Pass,Incomplete,0,,DUPLEX,REB,P,23,AXE,,IZ,2/3 ZIMBA,,40 BASE,41 OVER G,EVEN,,,,,4,4 DOWN -- 4R,,2 MAN,,MTL-97,MTL-98,,MTL-89,MTL-94,,MTL-19,,MTL-02,MTL-05,D
40,CON-OFF -- MTL-DEF,CON-00 VS MTL-31,02:34,3,L,25,FZ,2,10,2+LONG,AFTER INCOMPLETE PASS,Pass,Incomplete,0,,FRESNO,REB,P,32,,,DROPBACK,,60/61,30 BASE,34,ODD,,,,,3,3 DOWN -- 3R,,4,,MTL-97,,MTL-98,,,MTL-94,MTL-19,MTL-02,MTL-50,MTL-05,D
41,CON-OFF -- MTL-DEF,CON-00 VS MTL-31,00:12,3,L,43,OF,1,10,P+10,AFTER PUNT,Run,Rush,4,,IZ READ ST OPT W DO,REB,P,32T,,,IZ,2/3 BOSS,,30 BASE,31 OKIE STACK,ODD,,,,,3,3 DOWN -- 3R,,4,,MTL-54,,MTL-44,,,MTL-51,MTL-19,MTL-02,MTL-50,MTL-05,D
42,CON-OFF -- MTL-DEF,CON-00 VS MTL-31,15:00,4,L,39,OF,2,6,2+MEDIUM,AFTER RUN,Pass,Scramble,5,,DUSS,REB,P,33,,,DROPBACK,,50/51,30 BASE,34,ODD,,,,,3,3 DOWN -- 3R,,4,,MTL-54,,MTL-44,,,MTL-51,MTL-19,MTL-02,MTL-50,MTL-05,D
43,CON-OFF -- MTL-DEF,CON-00 VS MTL-31,14:25,4,R,34,FZ,3,1,3+SHORT,AFTER QB SCRAMBLE,Run,Rush,3,,QB SNEAK,BIG,,,,,SNEAK,QB SNEAK,,40 BASE,GAPS,EVEN,S-JET W-JET,,SCW3,,6,4 DOWN -- 6O,,0,,MTL-98,MTL-89,,MTL-97,MTL-94,,MTL-19,,MTL-02,MTL-05,D
